DISTRICTNO,dvs,rvs,margin,winner
1,0.575,0.399,0.177,d
2,0.523,0.455,0.068,d
3,0.59,0.384,0.205,d
4,0.531,0.445,0.085,d
5,0.519,0.463,0.056,d
6,0.482,0.499,-0.017,r
7,0.6,0.389,0.211,d
8,0.513,0.468,0.045,d
9,0.343,0.641,-0.298,r
10,0.487,0.49,-0.003,r
11,0.472,0.508,-0.036,r
12,0.423,0.559,-0.136,r
13,0.382,0.606,-0.224,r
14,0.463,0.517,-0.055,r
15,0.581,0.397,0.184,d
16,0.437,0.535,-0.098,r
17,0.388,0.58,-0.192,r
18,0.341,0.633,-0.292,r
19,0.462,0.511,-0.049,r
20,0.355,0.621,-0.266,r
21,0.548,0.432,0.116,d
22,0.33,0.648,-0.319,r
23,0.33,0.649,-0.318,r
24,0.315,0.664,-0.349,r
25,0.403,0.569,-0.166,r
26,0.476,0.495,-0.019,r
27,0.661,0.318,0.343,d
28,0.494,0.486,0.009,d
29,0.437,0.541,-0.104,r
30,0.344,0.633,-0.289,r
31,0.247,0.735,-0.488,r
32,0.474,0.497,-0.022,r
33,0.357,0.612,-0.254,r
34,0.427,0.541,-0.115,r
35,0.505,0.472,0.033,d
36,0.422,0.546,-0.125,r
37,0.394,0.578,-0.184,r
38,0.466,0.509,-0.043,r
